Title,Title_URL,Image,Price,Tag,Tag1
Puma Speedcat Ballet Lace Frosted Ivory Ruby Shimmer (Women’s),https://www.kickavenue.com/sneakers/puma/puma-speedcat-ballet-lace-frosted-ivory-ruby-shimmer-womens-408719-01-ka/152244?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjI0NC9hNDY5Yjc0MmE2NTI4YjExZTdkNTMwYjE2OWFmMTZmMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Puma,"IDR 2,300,000",
Adidas Samba OG Black White Gum (Grade School),https://www.kickavenue.com/sneakers/adidas/adidas-samba-og-black-white-gum-gs-ie3676-ka/76513?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc2NTEzLzYwYmUxNzY1M2U2YmJjMmU0ZmEyNjAxMzk0MzY5ODM3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Adidas,"IDR 1,300,000","IDR 1,320,000"
Air Jordan 1 Retro High OG SP Fragment x Union LA Varsity Red Sport Royal,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-1-retro-high-og-sp-fragment-x-union-la-varsity-red-sport-royal-io7847-002-ka/153425?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQyNS9mOWE1MWQ2M2Y3Nzg4YjEzY2MzYTlhYzA2NjA2MTFkZi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 4,010,000",
Nike Dunk Low Grey Fog,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-grey-fog-dd1391-103-ka/26263?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI2MjYzL2FmNzZiYTQ2N2ZmNzZjMjllMmJiZDVlY2ZlNjZmYWQwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Nike,"IDR 1,030,000","IDR 1,650,000"
Nike Dunk Low Retro White Black Panda,https://www.kickavenue.com/sneakers/nike/nike-dunk-low-retro-white-black-panda-dd1391-100-ka/17266?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE3MjY2L2I1M2VmMDZmMDVkMDZkZWM0NDMzYjQwMThhMzgyMzQ2LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Nike,"IDR 1,000,000","IDR 1,599,000"
Air Jordan 3 Retro Levi’s Indigo,https://www.kickavenue.com/sneakers/air-jordan/air-jordan-3-retro-levis-indigo-ih7959-400-ka/153431?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQzMS80ZTU4NWI2MWJkZDk2YThjNzQyODY2NWZkOTM3ZTA2Ny5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Air Jordan,"IDR 2,850,000","IDR 3,795,000"
New Balance 1906L Raincloud,https://www.kickavenue.com/sneakers/new-balance/new-balance-1906l-raincloud-u1906lgr-ka/129283?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyOTI4My9iYzQ0YmU5ZTkxMGFlNThhMDlhNmUxZGEyMTE0Y2YxYS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,New Balance,"IDR 3,650,000",
New Balance 9060 Rain Cloud Grey,https://www.kickavenue.com/sneakers/new-balance/new-balance-9060-rain-cloud-grey-u9060gry-ka-2/38412?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzM4NDEyLzFhMzc0ZTUxNzUzZTlhOGQ2NTU1NzAzNjk1OGI0YzQwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,New Balance,"IDR 1,030,000","IDR 2,475,000"
Air Jordan 1 Low Wolf Grey (Women's),https://www.kickavenue.com/sneakers/air-jordan/jordan-1-low-wolf-grey-w-dc0774-105-ka-2/24000?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzI0MDAwL2ZmZGM2ODhiNWE1ZTU2ZTAyYTkxZjdmYmVjZWIwYzg3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,Air Jordan,"IDR 850,000","IDR 2,970,000"
Nike Air Max 1 Crepe Soft Grey,https://www.kickavenue.com/sneakers/nike/nike-air-max-1-crepe-soft-grey-fd5088-001-ka/43720?from=search,https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzQzNzIwLzU3MGE5Y2FjMTcxOTJmZDE5ZTM1Y2M0N2JkZDFhOTdmLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,Nike,"IDR 1,790,000","IDR 2,640,000"
