periode_data,triwulan,wilayah,jenis_usaha,jumlah_usaha,nilai_pendapatan
201903,1,KAB. ADM. KEP. SERIBU,KULINER,863,841485000
201903,1,KAB. ADM. KEP. SERIBU,LAINNYA,285,241942000
201903,1,KAB. ADM. KEP. SERIBU,FASHION,69,25750000
201903,1,KAB. ADM. KEP. SERIBU,CRAFT,22,10300000
201903,1,KOTA ADM. JAKARTA BARAT,CRAFT,526,N/A
201903,1,KOTA ADM. JAKARTA BARAT,KULINER,8289,237600005
201903,1,KOTA ADM. JAKARTA BARAT,LAINNYA,537,50800000
201903,1,KOTA ADM. JAKARTA BARAT,FASHION,1236,2500000
201903,1,KOTA ADM. JAKARTA PUSAT,KULINER,9157,2911695500
201903,1,KOTA ADM. JAKARTA PUSAT,FASHION,1152,257706600
201903,1,KOTA ADM. JAKARTA PUSAT,LAINNYA,919,149265000
201903,1,KOTA ADM. JAKARTA PUSAT,CRAFT,696,143013000
201903,1,KOTA ADM. JAKARTA SELATAN,KULINER,15541,204585000
201903,1,KOTA ADM. JAKARTA SELATAN,FASHION,1922,23700000
201903,1,KOTA ADM. JAKARTA SELATAN,LAINNYA,1479,9520000
201903,1,KOTA ADM. JAKARTA SELATAN,CRAFT,908,8600000
201903,1,KOTA ADM. JAKARTA TIMUR,KULINER,11915,468010001
201903,1,KOTA ADM. JAKARTA TIMUR,FASHION,2148,113300000
201903,1,KOTA ADM. JAKARTA TIMUR,CRAFT,704,32700000
201903,1,KOTA ADM. JAKARTA TIMUR,LAINNYA,1255,2910000
201903,1,KOTA ADM. JAKARTA UTARA,CRAFT,348,N/A
201903,1,KOTA ADM. JAKARTA UTARA,FASHION,1150,N/A
201903,1,KOTA ADM. JAKARTA UTARA,LAINNYA,739,180000000
201903,1,KOTA ADM. JAKARTA UTARA,KULINER,7204,131200000
201906,2,KAB. ADM. KEP. SERIBU,KULINER,866,764460000
201906,2,KAB. ADM. KEP. SERIBU,LAINNYA,278,209715000
201906,2,KAB. ADM. KEP. SERIBU,FASHION,72,24200000
201906,2,KAB. ADM. KEP. SERIBU,CRAFT,23,24000000
201906,2,KOTA ADM. JAKARTA BARAT,KULINER,8277,291035000
201906,2,KOTA ADM. JAKARTA BARAT,LAINNYA,535,50100000
201906,2,KOTA ADM. JAKARTA BARAT,FASHION,1245,16500000
201906,2,KOTA ADM. JAKARTA BARAT,CRAFT,531,800000
201906,2,KOTA ADM. JAKARTA PUSAT,KULINER,9151,3496225750
201906,2,KOTA ADM. JAKARTA PUSAT,FASHION,1151,343947000
201906,2,KOTA ADM. JAKARTA PUSAT,CRAFT,711,178429000
201906,2,KOTA ADM. JAKARTA PUSAT,LAINNYA,911,153508000
201906,2,KOTA ADM. JAKARTA SELATAN,KULINER,15522,509504500
201906,2,KOTA ADM. JAKARTA SELATAN,LAINNYA,1474,50500000
201906,2,KOTA ADM. JAKARTA SELATAN,CRAFT,920,45620000
201906,2,KOTA ADM. JAKARTA SELATAN,FASHION,1935,26950000
201906,2,KOTA ADM. JAKARTA TIMUR,KULINER,11901,620511001
