author,text,like_count,published_at
@Rarez0811,Lumayan ada temen nyuci baju☺,321,2026-03-27T10:01:52Z
@KaspulAnwar-g9f,"Budaya kerja China ini aku melihat banyak di Adopsi oleh Perusahaan asal China yg ada di Indonesia.
Jam kerja panjang tapi gaji Murah.
Kelak mereka sendiri yang akan hancur karna Zolim",0,2026-04-09T02:12:57Z
@dendjaka7203,"Pekerja konveksi di kabupaten Pekalongan cm senyum doang sama 996.
Orang penjahit make 8116 😅",0,2026-04-08T15:43:10Z
@queen-ff8sk,"gue sumpahin jadi taik anjing yg bilang males, kalo bayarannya gede sih ga masalah. ini buat makan aja kurang.",0,2026-04-08T10:23:55Z
@Abdurrohman44_,11:56 hidupp!!!😂,2,2026-04-08T08:30:04Z
@hwehehe,gw fresh graduate belom ada pengalaman kerja tau tau kerja di negara orang sehari 11 jam auto tepar bjirlah😅,0,2026-04-08T04:42:25Z
@vanart2383,"Agak geli waktu dgr jack ma bilang kalo ga 996 ga bisa jadi orng sukses 😂
Satu² nya yg sukses di sistem itu ya bos² seperti dia tapi tidak untuk pekerjanya, karna para pekerjanya akan ttp jadi budak pekerja sampai akhir 😂😂",0,2026-04-07T10:21:43Z
@porenges2,"kerja keras hasil sebanding sih oke, tp kalo ga seberapa apalagi ga dibayar sih itu zholim, 
emang kehidupan cuma untuk kerja",0,2026-04-07T04:37:41Z
@grizkydaulay402,Gua yang kerja dari jam 6 pagi Ampe jam 10 malam GK ada libur nya😢😢😢,0,2026-04-07T03:56:00Z
@sedikitbelajar90,"Gen Z akan menyelamatkan dunia dari budaya lembur, Hidup Gen Z!!",1,2026-04-07T03:35:16Z
@Irawan-i22w,"Memang benar apa yg dikatakan oleh jack ma,""kita gak akan bisa sukses kalau gak ngorbanin waktu dan tenaka ekstra"" tapi realitanya,berapa persen sih karyawan sg bisa semelejit atau bisa merubah hidup mereka kalau apa yg beliao katakan itu dilakukan,misal ada yg bisapun saya yakin dia masih ada backingan yg cukup oke
jadi mohon bijaklah pemimpin perusahaan,dalam menerapkan jam kerja,saya juga tidak mempungkiri misal pemimpin usaha pasti ingin hasil lebih,bahkan mungkin say juga bisa jadi seperti mereka,tapi mohon dipikirkan pekernya juga",0,2026-04-06T05:40:23Z
@mhrooney9638,gua difnb kerja 12 jam . cuma gajih 2.5,0,2026-04-06T01:29:03Z
@rizaalfisahrin1205,"Gak kebayang kalau orang China tahu Marapthon, 24 jam full live streaming real life dapet duit dari monetisasi YouTube melebihi 996 😂😂😂😂",0,2026-04-05T23:49:47Z
@NurulArfahFauziah,"Di indo juga gitu bang, gak sesuai sama kontrak kerja. Saya mulai kerja jam 7.15, seharusnya selesai jam 17.00 tapi kenyataannya selalu pulang jam 19.00 keatas. Kalau akhir bulan selalu pulang tengah malem jam 00.00, belum lagi sabtu pasti lembur dan minggu kadang lembur juga. Gila juga gak?",0,2026-04-05T23:11:30Z
@nikoaryanto9580,Yg mendukung 996 yg taipannya wqwqwq,0,2026-04-05T21:28:02Z
@sinagaistargaryen74,"Yang jadi main factor nya balik lagi ke ideologi komunismenya, semua aset itu milik negara, rakyat jadi alat  labour jadi buruh, mereka diajarkan paksa dari kecil untuk bekerja buat negara bukan buat keuntungan diri sendiri makanya, sistem sistem kerja kayak gitu lu bisa labelin langsung sistem kerja komunis apalagi perusahaannya sendiri yang langgar aturan tenaga kerjanya, apalagi di indonesia, gua udh punya banyak pengalaman kerja di chinese owning class company, yang dimana ya pola bentuk sistem kerjanya sama cari keuntungan sebanyak banyaknya dengan pengeluaran sekecil kecilnya, mereka itu ngejajah indonesia dengan manfaatin buruh indonesia jadi figur cheap-labour itulah kenapa banyak investor cina invest di indo",0,2026-04-05T18:52:42Z
@arnoldd5426,Tempat kerjaku 8-8-7 😖,0,2026-04-05T16:14:10Z
@azr1lboc1l31,ada satu perusahaan di china yang berlawanan sama 996 ini namanya pang dong lai,0,2026-04-05T13:36:04Z
@mysterio5392,"Budaya menjilat tp krn semua menjilat jd ga ad yg dpt hasil lbh

Ato kemungkinan lainnya adalah bos ga mau rugi jd dibuat seolah kulture😂😂😂😂",0,2026-04-05T10:17:32Z
@aurickvelary8560,admin judi cambodia apa itu 996.,0,2026-04-05T06:07:48Z
@thexerxest,pp,0,2026-04-05T05:53:52Z
@canra245,"Jangankan 996 bang koi, saya kerjanya bisa dibilang 24jam(meskipun gak nonstop tapi harus selalu stand by), selama seminggu full dan ngga ada libur. Pulang ke rumah pun cuma 6 bulan sekali dan itupun cuma sehari. Mana bosnya rasa villain lagi 😢",0,2026-04-05T05:32:19Z
@Fiqritansa,"Di Indonesia Morowali Industrial Park(IMIP) Sulawesi Tengah kebanyakan juga kerja 12 jam sehari, bahkan kadang tidak ambil libur pada hari minggu, jadinya 887 atau 777 yang notabene Investor hilirisasinya dari China, biasa saja.",1,2026-04-05T04:03:47Z
@bagasyulianto6052,"pekerja cuma alat dimata para petinggi di industri apalagi soal asia timur, jam sekolahnya aja ga manusiawi apalagi dunia kerja lebih gila lagi buat lu yg cuma karyawan biasa btw kalo kata gua mah gausah glazing asia timur mereka juga ada permasalahan tersendiri, keindahan yang lu liat itu cuma di sosmed nyatanya ga seindah itu",0,2026-04-05T02:43:53Z
@10FUNFACT,"ngapain jauh"" ke china..  di jatim banyak... di kota saya lumajang... banyak PT jam kerja dari 7 sampai jam 7.. 6 hari... kerja sift malam dan siang.. libur seperti 2 minggu sekali... tanggal merah pun masuk.. nyicil buat libur hari raya.. hari raya cuma libur 2 hari.. biar libur sampai hari raya 7.. 5 hatinya nyicil tiap tanggal merah...
lebih dari pembudakan di china",0,2026-04-05T01:35:47Z
@raymondfabrianto1528,"996 kalau misalnya dilakukan dengan adil itu sangat membantu karena sesuai dengan apa yang mereka korbankan, tapi kalau tidak dibayar sih konyol itu perusahaannya, sama aja seperti memeras tenaga orang yang ada. Tapi kalau menghasilkan, pasti ada kesenangan juga dr pihak pekerjanya.",0,2026-04-05T01:02:46Z
